location,timestamp,pm2_5,pm10,co,no2,o3,so2,aqi,air_quality
Jakarta,2025-01-01 00:00:00,23.35,41.59,1468.66,21.93,1.01,15.5,2.0,Fair
Jakarta,2025-01-01 01:00:00,36.97,61.97,2643.59,25.7,0.98,24.08,3.0,Moderate
Jakarta,2025-01-01 02:00:00,41.61,69.86,2964.02,30.16,1.1,29.09,3.0,Moderate
Jakarta,2025-01-01 03:00:00,34.91,61.08,2323.15,33.93,1.48,30.28,3.0,Moderate
Jakarta,2025-01-01 04:00:00,16.2,27.36,1108.17,33.24,4.69,25.75,2.0,Fair
Jakarta,2025-01-01 05:00:00,13.72,20.83,907.9,31.53,9.66,23.6,2.0,Fair
Jakarta,2025-01-01 06:00:00,13.61,19.71,947.95,27.42,18.42,20.5,2.0,Fair
Jakarta,2025-01-01 07:00:00,16.33,23.64,1134.87,29.13,27.89,21.46,2.0,Fair
Jakarta,2025-01-01 08:00:00,21.41,30.67,1428.6,37.01,25.03,22.41,2.0,Fair
Jakarta,2025-01-01 09:00:00,28.29,39.12,1815.8,49.35,17.17,25.51,3.0,Moderate
Jakarta,2025-01-01 10:00:00,45.4,59.54,2750.4,70.6,3.76,33.38,3.0,Moderate
Jakarta,2025-01-01 11:00:00,65.55,84.68,3791.81,78.14,0.22,38.62,4.0,Poor
Jakarta,2025-01-01 12:00:00,72.75,97.45,3898.62,65.12,0.0,33.38,4.0,Poor
Jakarta,2025-01-01 13:00:00,74.86,108.4,3791.81,48.67,0.0,30.04,4.0,Poor
Jakarta,2025-01-01 14:00:00,69.28,112.14,3311.16,34.96,0.0,26.94,4.0,Poor
Jakarta,2025-01-01 15:00:00,60.76,108.75,2777.1,26.05,0.0,22.89,4.0,Poor
Jakarta,2025-01-01 16:00:00,49.55,94.87,2403.26,21.59,0.0,19.79,3.0,Moderate
Jakarta,2025-01-01 17:00:00,33.93,68.88,1949.31,19.02,0.0,15.97,3.0,Moderate
Jakarta,2025-01-01 18:00:00,24.86,51.81,1415.25,17.48,0.01,12.76,3.0,Moderate
Jakarta,2025-01-01 19:00:00,20.88,43.89,1041.41,16.45,0.1,10.37,2.0,Fair
Jakarta,2025-01-01 20:00:00,20.5,42.23,894.55,16.11,0.24,9.54,2.0,Fair
Jakarta,2025-01-01 21:00:00,21.96,43.75,867.84,16.11,0.2,9.89,2.0,Fair
Jakarta,2025-01-01 22:00:00,24.68,47.52,961.3,16.11,0.05,11.32,2.0,Fair
Jakarta,2025-01-01 23:00:00,31.07,57.41,1295.09,16.45,0.0,14.19,3.0,Moderate
Jakarta,2025-01-02 00:00:00,57.23,96.29,2777.1,19.19,0.09,24.08,4.0,Poor
Jakarta,2025-01-02 01:00:00,92.0,145.38,5340.58,25.7,0.3,40.53,5.0,Very Poor
Jakarta,2025-01-02 02:00:00,102.61,163.06,6301.88,30.85,0.51,47.68,5.0,Very Poor
Jakarta,2025-01-02 03:00:00,88.13,145.61,5233.76,32.56,0.83,44.35,5.0,Very Poor
Jakarta,2025-01-02 04:00:00,23.3,40.93,1562.12,25.7,4.6,20.5,2.0,Fair
Jakarta,2025-01-02 05:00:00,16.16,27.97,1161.58,28.1,9.83,21.93,2.0,Fair
Jakarta,2025-01-02 06:00:00,16.7,27.65,1174.93,35.3,15.91,26.7,2.0,Fair
Jakarta,2025-01-02 07:00:00,17.17,27.53,1174.93,41.47,18.06,28.61,2.0,Fair
Jakarta,2025-01-02 08:00:00,17.93,27.94,1174.93,41.13,22.89,28.37,2.0,Fair
Jakarta,2025-01-02 09:00:00,19.11,28.77,1228.33,43.53,24.68,29.8,2.0,Fair
Jakarta,2025-01-02 10:00:00,25.92,39.09,1815.8,60.32,11.35,36.24,3.0,Moderate
Jakarta,2025-01-02 11:00:00,40.47,63.0,2883.91,71.97,0.63,44.82,3.0,Moderate
Jakarta,2025-01-02 12:00:00,56.67,89.93,3284.45,74.03,0.02,47.21,4.0,Poor
Jakarta,2025-01-02 13:00:00,75.3,118.35,3471.37,75.4,0.0,51.98,5.0,Very Poor
Jakarta,2025-01-02 14:00:00,89.24,143.9,3685.0,68.55,0.0,48.16,5.0,Very Poor
Jakarta,2025-01-02 15:00:00,88.82,151.43,3631.59,50.72,0.0,34.81,5.0,Very Poor
Jakarta,2025-01-02 16:00:00,71.71,131.74,3204.35,31.87,0.0,25.27,4.0,Poor
Jakarta,2025-01-02 17:00:00,54.71,107.58,2777.1,23.65,0.0,20.27,4.0,Poor
Jakarta,2025-01-02 18:00:00,47.17,95.64,2323.15,20.39,0.0,16.69,3.0,Moderate
Jakarta,2025-01-02 19:00:00,58.67,112.86,2403.26,19.36,0.0,14.42,4.0,Poor
Jakarta,2025-01-02 20:00:00,83.03,149.41,2883.91,19.36,0.0,14.07,5.0,Very Poor
Jakarta,2025-01-02 21:00:00,115.31,197.56,3578.19,20.05,0.0,15.5,5.0,Very Poor
Jakarta,2025-01-02 22:00:00,172.43,279.68,5020.14,22.96,0.0,18.84,5.0,Very Poor
Jakarta,2025-01-02 23:00:00,234.3,363.81,6942.75,27.08,0.0,24.32,5.0,Very Poor
Jakarta,2025-01-03 00:00:00,321.84,475.69,10574.34,35.99,0.2,42.44,5.0,Very Poor
Jakarta,2025-01-03 01:00:00,357.38,505.89,13885.5,60.32,1.18,63.9,5.0,Very Poor
Jakarta,2025-01-03 02:00:00,352.49,488.36,15380.86,104.19,2.46,76.29,5.0,Very Poor
Jakarta,2025-01-03 03:00:00,252.51,358.34,11749.27,119.27,2.66,66.76,5.0,Very Poor
Jakarta,2025-01-03 04:00:00,33.72,55.97,2029.42,37.36,5.54,19.07,3.0,Moderate
Jakarta,2025-01-03 05:00:00,15.37,26.72,1108.17,25.36,10.64,15.74,2.0,Fair
Jakarta,2025-01-03 06:00:00,17.39,27.05,1054.76,29.47,18.6,20.03,2.0,Fair
Jakarta,2025-01-03 07:00:00,28.89,39.85,1268.39,41.81,31.83,30.99,3.0,Moderate
Jakarta,2025-01-03 08:00:00,40.32,52.87,1482.01,50.04,50.78,37.67,3.0,Moderate
Jakarta,2025-01-03 09:00:00,44.45,57.54,1682.28,53.47,60.8,37.67,3.0,Moderate
Jakarta,2025-01-03 10:00:00,49.08,63.14,2349.85,73.34,40.41,41.48,3.0,Moderate
Jakarta,2025-01-03 11:00:00,59.62,77.73,3337.86,95.96,7.42,47.68,4.0,Poor
Jakarta,2025-01-03 12:00:00,71.24,96.5,3738.4,87.74,0.17,48.16,4.0,Poor
Jakarta,2025-01-03 13:00:00,114.78,162.13,5500.79,80.2,0.0,53.41,5.0,Very Poor
Jakarta,2025-01-03 14:00:00,179.8,260.17,7797.24,76.77,0.0,56.74,5.0,Very Poor
Jakarta,2025-01-03 15:00:00,227.9,338.95,9078.98,71.97,0.0,53.41,5.0,Very Poor
Jakarta,2025-01-03 16:00:00,244.37,376.81,9719.85,66.49,0.0,49.11,5.0,Very Poor
Jakarta,2025-01-03 17:00:00,233.79,371.82,9719.85,61.69,0.0,44.35,5.0,Very Poor
Jakarta,2025-01-03 18:00:00,230.05,375.55,9292.6,58.26,0.0,39.1,5.0,Very Poor
Jakarta,2025-01-03 19:00:00,220.15,367.56,8117.68,52.78,0.0,33.38,5.0,Very Poor
Jakarta,2025-01-03 20:00:00,213.37,358.97,7263.18,48.67,0.0,28.37,5.0,Very Poor
Jakarta,2025-01-03 21:00:00,225.89,371.5,7156.37,47.3,0.0,25.99,5.0,Very Poor
Jakarta,2025-01-03 22:00:00,249.67,395.26,7583.62,48.67,0.0,25.03,5.0,Very Poor
Jakarta,2025-01-03 23:00:00,232.9,361.75,7263.18,43.87,0.0,23.37,5.0,Very Poor
Jakarta,2025-01-04 00:00:00,198.78,304.42,7049.56,37.01,0.42,28.85,5.0,Very Poor
Jakarta,2025-01-04 01:00:00,126.18,193.74,5714.42,35.3,1.92,33.38,5.0,Very Poor
Jakarta,2025-01-04 02:00:00,95.81,151.3,5233.76,41.47,2.73,36.72,5.0,Very Poor
Jakarta,2025-01-04 03:00:00,62.89,108.12,3578.19,39.76,2.3,30.99,4.0,Poor
Jakarta,2025-01-04 04:00:00,12.34,23.94,1014.71,18.51,8.23,10.13,2.0,Fair
Jakarta,2025-01-04 05:00:00,6.87,12.73,741.0,12.17,15.38,7.15,1.0,Good
Jakarta,2025-01-04 06:00:00,6.19,11.06,741.0,11.65,20.56,6.97,1.0,Good
Jakarta,2025-01-04 07:00:00,5.88,10.21,747.68,12.17,23.96,6.68,1.0,Good
Jakarta,2025-01-04 08:00:00,5.53,9.56,747.68,13.54,20.03,6.62,1.0,Good
Jakarta,2025-01-04 09:00:00,5.27,9.16,781.06,15.59,11.8,6.85,1.0,Good
Jakarta,2025-01-04 10:00:00,6.18,11.34,947.95,18.68,4.43,8.34,1.0,Good
Jakarta,2025-01-04 11:00:00,8.14,15.76,1108.17,19.19,1.03,10.13,1.0,Good
Jakarta,2025-01-04 12:00:00,10.42,21.08,1121.52,17.48,0.32,10.49,2.0,Fair
Jakarta,2025-01-04 13:00:00,32.07,59.16,2189.64,18.85,0.01,18.6,3.0,Moderate
Jakarta,2025-01-04 14:00:00,58.41,106.01,3150.94,20.56,0.0,23.6,4.0,Poor
Jakarta,2025-01-04 15:00:00,72.65,133.29,3417.97,20.91,0.0,23.37,4.0,Poor
Jakarta,2025-01-04 16:00:00,74.16,138.52,3471.37,20.39,0.0,21.7,4.0,Poor
Jakarta,2025-01-04 17:00:00,63.33,123.02,3150.94,19.19,0.0,17.88,4.0,Poor
Jakarta,2025-01-04 18:00:00,54.52,108.6,2590.18,17.48,0.0,13.83,4.0,Poor
Jakarta,2025-01-04 19:00:00,44.84,90.07,1922.61,15.42,0.0,10.37,3.0,Moderate
Jakarta,2025-01-04 20:00:00,37.38,73.75,1455.31,13.88,0.0,8.58,3.0,Moderate
Jakarta,2025-01-04 21:00:00,34.49,65.73,1281.74,13.02,0.01,8.23,3.0,Moderate
Jakarta,2025-01-04 22:00:00,34.11,63.5,1281.74,12.68,0.01,8.82,3.0,Moderate
Jakarta,2025-01-04 23:00:00,32.37,58.97,1401.9,13.02,0.01,10.37,3.0,Moderate
Jakarta,2025-01-05 00:00:00,39.2,66.73,2136.23,14.74,0.28,16.69,3.0,Moderate
Jakarta,2025-01-05 01:00:00,43.56,72.03,2964.02,18.34,1.3,24.32,3.0,Moderate
Jakarta,2025-01-05 02:00:00,49.28,82.4,3337.86,25.7,4.34,28.61,3.0,Moderate
Jakarta,2025-01-05 03:00:00,47.11,81.62,2750.4,38.04,20.21,25.99,3.0,Moderate
